level,name,episodes,frames,hours,avg_frames_per_episode,avg_duration_per_episode_sec
tissue,tissue_1,359,67327,0.623,187.5,6.3
tissue,tissue_10,51,6976,0.065,136.8,4.6
tissue,tissue_2,534,89014,0.824,166.7,5.6
tissue,tissue_3,233,22193,0.205,95.2,3.2
tissue,tissue_4,429,53303,0.494,124.2,4.1
tissue,tissue_5,284,37638,0.348,132.5,4.4
subtask,1_grabbing_gallbladder,223,32494,0.301,145.7,4.9
subtask,2_clipping_first_clip_left_tube,161,33312,0.308,206.9,6.9
subtask,3_going_back_first_clip_left_tube,78,9376,0.087,120.2,4.0
subtask,4_clipping_second_clip_left_tube,141,22297,0.206,158.1,5.3
subtask,5_going_back_second_clip_left_tube,74,8575,0.079,115.9,3.9
subtask,6_clipping_third_clip_left_tube,162,26285,0.243,162.3,5.4
subtask,7_going_back_third_clip_left_tube,69,7823,0.072,113.4,3.8
subtask,8_go_to_the_cutting_position_left_tube,187,23913,0.221,127.9,4.3
subtask,9_go_back_from_the_cut_left_tube,74,7838,0.073,105.9,3.5
subtask,10_clipping_first_clip_right_tube,124,22218,0.206,179.2,6.0
subtask,11_going_back_first_clip_right_tube,53,7152,0.066,134.9,4.5
subtask,12_clipping_second_clip_right_tube,97,14358,0.133,148.0,4.9
subtask,13_going_back_second_clip_right_tube,67,9141,0.085,136.4,4.5
subtask,14_clipping_third_clip_right_tube,137,21746,0.201,158.7,5.3
subtask,15_going_back_third_clip_right_tube,57,7251,0.067,127.2,4.2
subtask,16_go_to_the_cutting_position_right_tube,142,18406,0.170,129.6,4.3
subtask,17_go_back_from_the_cut_right_tube,44,4266,0.039,97.0,3.2
total,ALL,1890,276451,2.560,146.3,4.9
